"Species","mass_gm","source"
"Abeillia abeillei",2.7,"combined: BirdLife, eBird, BirdTree"
"Abroscopus albogularis",4.82666666666667,"combined: BirdLife, eBird, BirdTree"
"Abroscopus schisticeps",4.7,"combined: BirdLife, eBird, BirdTree"
"Abroscopus superciliaris",6.48666666666667,"combined: BirdLife, eBird, BirdTree"
"Aburria aburri",1405.08666666667,"combined: BirdLife, eBird, BirdTree"
"Acanthagenys rufogularis",47.8,"combined: BirdLife, eBird, BirdTree"
"Acanthidops bairdi",16,"combined: BirdLife, eBird, BirdTree"
"Acanthidops bairdii",16,"combined: BirdLife, eBird, BirdTree"
"Acanthis cabaret",12,"combined: BirdLife, eBird, BirdTree"
"Acanthis flammea",13,"combined: BirdLife, eBird, BirdTree"
"Acanthis hornemanni",13.9,"combined: BirdLife, eBird, BirdTree"
"Acanthisitta chloris",6.90666666666667,"combined: BirdLife, eBird, BirdTree"
"Acanthiza apicalis",7.61333333333333,"combined: BirdLife, eBird, BirdTree"
"Acanthiza chrysorrhoa",9.29333333333333,"combined: BirdLife, eBird, BirdTree"
"Acanthiza cinerea",7.6,"combined: BirdLife, eBird, BirdTree"
"Acanthiza ewingii",6.9,"combined: BirdLife, eBird, BirdTree"
"Acanthiza inornata",7,"combined: BirdLife, eBird, BirdTree"
"Acanthiza iredalei",6.02666666666667,"combined: BirdLife, eBird, BirdTree"
"Acanthiza katherina",7.2,"combined: BirdLife, eBird, BirdTree"
"Acanthiza lineata",6.86666666666667,"combined: BirdLife, eBird, BirdTree"
"Acanthiza murina",8.4,"combined: BirdLife, eBird, BirdTree"
"Acanthiza nana",6.19333333333333,"combined: BirdLife, eBird, BirdTree"
"Acanthiza pusilla",7.61333333333333,"combined: BirdLife, eBird, BirdTree"
"Acanthiza reguloides",7.7,"combined: BirdLife, eBird, BirdTree"
"Acanthiza robustirostris",6.1,"combined: BirdLife, eBird, BirdTree"
"Acanthiza uropygialis",6.4,"combined: BirdLife, eBird, BirdTree"
"Acanthoptila nipalensis",61,"combined: BirdLife, eBird, BirdTree"
"Acanthorhynchus superciliosus",9.71333333333333,"combined: BirdLife, eBird, BirdTree"
"Acanthorhynchus tenuirostris",10.4266666666667,"combined: BirdLife, eBird, BirdTree"
"Acanthornis magna",10.1866666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter albogularis",248.766666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter badius",131.166666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter bicolor",287.526666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter brachyurus",142,"combined: BirdLife, eBird, BirdTree"
"Accipiter brevipes",186.486666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter butleri",122,"combined: BirdLife, eBird, BirdTree"
"Accipiter castanilius",157.506666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter chilensis",368,"combined: BirdLife, eBird, BirdTree"
"Accipiter chionogaster",130.6,"combined: BirdLife, eBird, BirdTree"
"Accipiter cirrocephalus",165.72,"combined: BirdLife, eBird, BirdTree"
"Accipiter collaris",97.8,"combined: BirdLife, eBird, BirdTree"
"Accipiter cooperii",429.68,"combined: BirdLife, eBird, BirdTree"
"Accipiter erythrauchen",156,"combined: BirdLife, eBird, BirdTree"
"Accipiter erythronemius",125,"combined: BirdLife, eBird, BirdTree"
"Accipiter erythropus",111.2,"combined: BirdLife, eBird, BirdTree"
"Accipiter fasciatus",358.673333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter francesiae",136.813333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter gentilis",866.026666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter griseiceps",251.773333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter gularis",120.673333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter gundlachi",675,"combined: BirdLife, eBird, BirdTree"
"Accipiter haplochrous",198.406666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter henicogrammus",358.7,"combined: BirdLife, eBird, BirdTree"
"Accipiter henstii",1050,"combined: BirdLife, eBird, BirdTree"
"Accipiter hiogaster",326.08,"combined: BirdLife, eBird, BirdTree"
"Accipiter imitator",222.493333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter luteoschistaceus",214,"combined: BirdLife, eBird, BirdTree"
"Accipiter madagascariensis",180.406666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter melanochlamys",265,"combined: BirdLife, eBird, BirdTree"
"Accipiter melanoleucus",698.993333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter meyerianus",763.526666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter minullus",87.42,"combined: BirdLife, eBird, BirdTree"
"Accipiter nanus",117,"combined: BirdLife, eBird, BirdTree"
"Accipiter nisus",220.793333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter novaehollandiae",326.073333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter ovampensis",195,"combined: BirdLife, eBird, BirdTree"
"Accipiter poliocephalus",214.773333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter poliogaster",315,"combined: BirdLife, eBird, BirdTree"
"Accipiter princeps",214.8,"combined: BirdLife, eBird, BirdTree"
"Accipiter rhodogaster",172.706666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter rufitorques",209,"combined: BirdLife, eBird, BirdTree"
"Accipiter rufiventris",198,"combined: BirdLife, eBird, BirdTree"
"Accipiter soloensis",164.78,"combined: BirdLife, eBird, BirdTree"
"Accipiter striatus",130.593333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter superciliosus",96.3866666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter sylvestris",326.06,"combined: BirdLife, eBird, BirdTree"
"Accipiter tachiro",290.2,"combined: BirdLife, eBird, BirdTree"
"Accipiter toussenelii",249.293333333333,"combined: BirdLife, eBird, BirdTree"
"Accipiter trinotatus",146,"combined: BirdLife, eBird, BirdTree"
"Accipiter trivirgatus",265.026666666667,"combined: BirdLife, eBird, BirdTree"
"Accipiter ventralis",233,"combined: BirdLife, eBird, BirdTree"
"Accipiter virgatus",116.993333333333,"combined: BirdLife, eBird, BirdTree"
"Aceros cassidix",2360,"combined: BirdLife, eBird, BirdTree"
"Aceros comatus",1470,"combined: BirdLife, eBird, BirdTree"
"Aceros corrugatus",1590,"combined: BirdLife, eBird, BirdTree"
"Aceros everetti",1090,"combined: BirdLife, eBird, BirdTree"
"Aceros leucocephalus",1086,"combined: BirdLife, eBird, BirdTree"
"Aceros narcondami",697.17,"combined: BirdLife, eBird, BirdTree"
"Aceros nipalensis",2385,"combined: BirdLife, eBird, BirdTree"
"Aceros plicatus",1703.76,"combined: BirdLife, eBird, BirdTree"
"Aceros subruficollis",2042,"combined: BirdLife, eBird, BirdTree"
"Aceros undulatus",2214.55,"combined: BirdLife, eBird, BirdTree"
"Aceros waldeni",1146,"combined: BirdLife, eBird, BirdTree"
"Achaetops pycnopygius",28.3,"combined: BirdLife, eBird, BirdTree"
"Acridotheres albocinctus",98.9,"combined: BirdLife, eBird, BirdTree"
"Acridotheres burmannicus",89,"combined: BirdLife, eBird, BirdTree"
"Acridotheres cinereus",98.9,"combined: BirdLife, eBird, BirdTree"
"Acridotheres cristatellus",116.306666666667,"combined: BirdLife, eBird, BirdTree"
"Acridotheres fuscus",82.8,"combined: BirdLife, eBird, BirdTree"
"Acridotheres ginginianus",72,"combined: BirdLife, eBird, BirdTree"
"Acridotheres grandis",98.9066666666667,"combined: BirdLife, eBird, BirdTree"
"Acridotheres javanicus",93.5,"combined: BirdLife, eBird, BirdTree"
"Acridotheres leucocephalus",89,"combined: BirdLife, eBird, BirdTree"
"Acridotheres melanopterus",89,"combined: BirdLife, eBird, BirdTree"
"Acridotheres tertius",89,"combined: BirdLife, eBird, BirdTree"
"Acridotheres tricolor",89,"combined: BirdLife, eBird, BirdTree"
"Acridotheres tristis",116.42,"combined: BirdLife, eBird, BirdTree"
"Acritillas indica",30.6,"combined: BirdLife, eBird, BirdTree"
"Acrobatornis fonsecai",13.7,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus aedon",22.4,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus aequinoctialis",25,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus agricola",9.6,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus arundinaceus",30,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus atyphus",30,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus australis",17.7,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus baeticatus",11.25,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus bistrigiceps",8.68,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus brevipennis",16,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus caffer",43.8,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus concinens",8.3,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus dumetorum",11.2,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus familiaris",18.3,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus gracilirostris",14.4,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus griseldis",16.7,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus hiwae",35.6,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus kerearako",22.5,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus longirostris",43.8,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus luscinius",30.55,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus melanopogon",10.9,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus mendanae",36.3,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus newtoni",17,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus orientalis",23.5,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus orinus",24.2,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus paludicola",11.6,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus palustris",11.5,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus percernis",31.2,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus rehsei",20.0733333333333,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus rimatarae",26.5,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus rimitarae",26.5,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus rodericanus",11.8,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus rufescens",22.7133333333333,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus schoenobaenus",11.82,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus scirpaceus",12.3,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus sechellensis",15.88,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus sorghophilus",8.2,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus stentoreus",24.2,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus syrinx",34,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus taiti",24.2666666666667,"combined: BirdLife, eBird, BirdTree"
"Acrocephalus tangorum",8,"combined: BirdLife, eBird, BirdTree"
