"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName","comments"
60,0.070063694,0.772641021,-0.888111888,"Invertebrate","LC","LT","Podicipediformes","Podicipedidae","Podilymbus","podiceps","Pied-billed Grebe","Podilymbus podiceps","Podilymbus podiceps",""
70,-1,-0.217726397,-0.539393939,"VertFishScav","LC","UT","Gaviiformes","Gaviidae","Gavia","immer","Common Loon","Gavia immer","Gavia immer",""
540,0.708108108,0.189521302,0.447988904,"VertFishScav","LC","LT","Charadriiformes","Laridae","Larus","delawarensis","Ring-billed Gull","Larus delawarensis","Larus delawarensis",""
770,1,0.68866146,-1,"VertFishScav","LC","LT","Charadriiformes","Laridae","Chlidonias","niger","Black Tern","Chlidonias niger","Chlidonias niger",""
1250,1,0.502902375,-0.924528302,"VertFishScav","LC","LT","Pelecaniformes","Pelecanidae","Pelecanus","erythrorhynchos","American White Pelican","Pelecanus erythrorhynchos","Pelecanus erythrorhynchos",""
1320,0.290780142,0.199898999,-0.113980514,"Omnivore","LC","LT","Anseriformes","Anatidae","Anas","platyrhynchos","Mallard","Anas platyrhynchos","Anas platyrhynchos",""
1350,0.689133425,0.473539573,-0.759794477,"PlantSeed","LC","LT","Anseriformes","Anatidae","Mareca","strepera","Gadwall","Mareca strepera","Anas strepera",""
1400,0.459637562,0.912851556,-0.806640625,"PlantSeed","LC","LT","Anseriformes","Anatidae","Spatula","discors","Blue-winged Teal","Spatula discors","Anas discors",""
1410,1,-1,0.677419355,"PlantSeed","LC","LT","Anseriformes","Anatidae","Spatula","cyanoptera","Cinnamon Teal","Spatula cyanoptera","Anas cyanoptera",""
1420,0.156398104,0.489056604,-0.62195122,"Invertebrate","LC","LT","Anseriformes","Anatidae","Spatula","clypeata","Northern Shoveler","Spatula clypeata","Anas clypeata",""
1430,-0.053521127,0.645165727,-0.738035264,"PlantSeed","LC","UT","Anseriformes","Anatidae","Anas","acuta","Northern Pintail","Anas acuta","Anas acuta",""
1460,1,0.568290353,-1,"PlantSeed","LC","LT","Anseriformes","Anatidae","Aythya","americana","Redhead","Aythya americana","Aythya americana",""
1720,0.311608961,-0.655353234,0.496397695,"PlantSeed","LC","LT","Anseriformes","Anatidae","Branta","canadensis","Canada Goose","Branta canadensis","Branta canadensis",""
