"AOU","fLU_ab","fLU_pr","fLU_tas","fLU_pr_avgAprtoAug","fLU_tas_avgAprtoAug","fLU_tas_avgAprtoJuly","fLU_tas_avgMaytoJuly","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
1940,-1,1,-1,-1,1,1,1,"VertFishScav","LC","UT","Pelecaniformes","Ardeidae","Ardea","herodias","Great Blue Heron","Ardea herodias","Ardea herodias"
2730,-0.184059266828458,-0.368599810841695,0.393939393939397,0.482397716460514,0.525541125541127,-0.181042654028434,-0.18499746578814,"Invertebrate","LC","UT","Charadriiformes","Charadriidae","Charadrius","vociferus","Killdeer","Charadrius vociferus","Charadrius vociferus"
2890,0.24547614695668,0.900157579577686,0.657811511701456,0.491550590398076,-0.0896956753870784,0.0134310134310143,-0.746681415929203,"PlantSeed","NT","LT","Galliformes","Odontophoridae","Colinus","virginianus","Northern Bobwhite","Colinus virginianus","Colinus virginianus"
3091,-0.440320962888665,-1,0.334811529933482,0.796914323230113,0.907268170426066,-0.741176470588233,0.0673076923076951,"PlantSeed","LC","UT","Galliformes","Phasianidae","Phasianus","colchicus","Ring-necked Pheasant","Phasianus colchicus","Phasianus colchicus"
3131,1,1,1,1,-0.364055299539168,-1,1,"PlantSeed","LC","LT","Columbiformes","Columbidae","Columba","livia","Rock Pigeon","Columba livia","Columba livia"
3160,-0.367951631576691,-0.324913319251653,-0.183931623931623,0.290248972491599,0.481399127683229,0.0447278264179687,0.0454545454545474,"PlantSeed","LC","UT","Columbiformes","Columbidae","Zenaida","macroura","Mourning Dove","Zenaida macroura","Zenaida macroura"
3870,-0.291931540342299,0.108521485797525,-0.868354430379748,0.216797267430179,0.264084507042254,-0.145023696682464,0.241746538871141,"Invertebrate","LC","UT","Cuculiformes","Cuculidae","Coccyzus","americanus","Yellow-billed Cuckoo","Coccyzus americanus","Coccyzus americanus"
3940,-1,-1,1,-1,-1,-1,-1,"Invertebrate","LC","UT","Piciformes","Picidae","Dryobates","pubescens","Downy Woodpecker","Dryobates pubescens","Picoides pubescens"
4020,-1,1,-1,1,-1,1,1,"Omnivore","LC","UT","Piciformes","Picidae","Sphyrapicus","varius","Yellow-bellied Sapsucker","Sphyrapicus varius","Sphyrapicus varius"
4090,0.129645635263614,0.298156139662614,-0.078549848942597,0.0130241877773013,-0.859969558599695,-0.772076372315035,-0.333333333333331,"Omnivore","LC","LT","Piciformes","Picidae","Melanerpes","carolinus","Red-bellied Woodpecker","Melanerpes carolinus","Melanerpes carolinus"
4120,1,-1,1,1,-1,-1,-1,"Invertebrate","LC","LT","Piciformes","Picidae","Colaptes","auratus auratus","(Yellow-shafted Flicker) Northern Flicker","Colaptes auratus auratus","Colaptes auratus"
4230,-0.531130876747141,-0.864811133200796,-0.340782122905027,-0.882691615689096,1,-0.70564516129032,-0.196172248803827,"Invertebrate","VU","UT","Apodiformes","Apodidae","Chaetura","pelagica","Chimney Swift","Chaetura pelagica","Chaetura pelagica"
4440,-0.112919633774163,1,0.803757828810022,0.959530229945939,0.25,0.971084337349397,-0.179941002949851,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Tyrannus","tyrannus","Eastern Kingbird","Tyrannus tyrannus","Tyrannus tyrannus"
4520,0.0858858858858834,-1,-0.788429752066115,0.256944444444444,0.911154985192497,0.363742690058479,0.433264887063656,"Invertebrate","LC","LT","Passeriformes","Tyrannidae","Myiarchus","crinitus","Great Crested Flycatcher","Myiarchus crinitus","Myiarchus crinitus"
4560,-0.102950030102348,-0.665415691642015,-0.868187579214195,0.773343270202071,0.24812895797352,0.160814606741574,0.159750275431511,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Sayornis","phoebe","Eastern Phoebe","Sayornis phoebe","Sayornis phoebe"
4610,-0.954869358669833,-1,0.851132686084146,0.277666799840192,0.714285714285713,-0.304703476482616,-1,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Contopus","virens","Eastern Wood-Pewee","Contopus virens","Contopus virens"
4650,-0.583684950773559,0.204651162790694,0.927536231884054,-1,-1,0.819314641744549,-1,"Invertebrate","LC","UT","Passeriformes","Tyrannidae","Empidonax","virescens","Acadian Flycatcher","Empidonax virescens","Empidonax virescens"
4740,-0.424067262217552,-0.874307945533442,0.504358655043587,0.823547750181856,0.842352941176471,-0.175438596491226,-0.766871165644172,"Omnivore","LC","UT","Passeriformes","Alaudidae","Eremophila","alpestris","Horned Lark","Eremophila alpestris","Eremophila alpestris"
4770,-0.327851075365984,0.193380423814329,-0.161813117244871,-0.190482947826499,0.0541813898704372,-0.240136570561456,-0.0989906832298138,"Omnivore","LC","UT","Passeriformes","Corvidae","Cyanocitta","cristata","Blue Jay","Cyanocitta cristata","Cyanocitta cristata"
4812,1,-1,1,1,1,1,1,"Omnivore","NT","LT","Passeriformes","Corvidae","Aphelocoma","californica","California Scrub-Jay","Aphelocoma californica","Aphelocoma californica"
4880,0.0890398271071312,-0.394873066165958,-0.0447888829502918,-0.097315814147423,0.419875859307215,-0.399341514516611,-0.390734961140689,"Omnivore","LC","LT","Passeriformes","Corvidae","Corvus","brachyrhynchos","American Crow","Corvus brachyrhynchos","Corvus brachyrhynchos"
4900,0.456000000000001,-0.733183856502243,-1,-1,1,-0.312925170068026,0.373134328358211,"Omnivore","LC","LT","Passeriformes","Corvidae","Corvus","ossifragus","Fish Crow","Corvus ossifragus","Corvus ossifragus"
4930,0.537768404907975,-0.433599450248773,-0.12574139976275,0.172139205662603,0.74878758486906,-0.396425670186839,-0.385751978891818,"Omnivore","LC","LT","Passeriformes","Sturnidae","Sturnus","vulgaris","European Starling","Sturnus vulgaris","Sturnus vulgaris"
4940,0.442786069651742,-0.281559603707255,0.509090909090913,0.881075551686107,1,-1,-0.0328638497652568,"Invertebrate","LC","LT","Passeriformes","Icteridae","Dolichonyx","oryzivorus","Bobolink","Dolichonyx oryzivorus","Dolichonyx oryzivorus"
4950,-0.031934645376903,0.0761831473643706,0.302493966210782,0.370381861897575,0.561486132914705,-0.493770491803277,-0.140284360189573,"PlantSeed","LC","UT","Passeriformes","Icteridae","Molothrus","ater","Brown-headed Cowbird","Molothrus ater","Molothrus ater"
4980,-0.154542616297222,-0.33549084455505,-0.140385031364913,0.104131813133516,0.303015797032072,-0.50549748880141,-0.46098127647943,"Omnivore","LC","UT","Passeriformes","Icteridae","Agelaius","phoeniceus","Red-winged Blackbird","Agelaius phoeniceus","Agelaius phoeniceus"
5010,0.0531220876048468,-0.290902029323236,0.552466990965951,0.556199361649889,0.425360474978795,-0.583194079732632,-0.44156786837648,"Invertebrate","NT","LT","Passeriformes","Icteridae","Sturnella","magna","Eastern Meadowlark","Sturnella magna","Sturnella magna"
5011,0.344430217669655,0.785900783289816,0.942857142857151,0.78393665158371,-1,1,0,"Omnivore","LC","LT","Passeriformes","Icteridae","Sturnella","neglecta","Western Meadowlark","Sturnella neglecta","Sturnella neglecta"
5060,0.00417536534446791,-1,-0.981481481481478,-0.43324250681199,0.761194029850747,1,1,"Omnivore","LC","LT","Passeriformes","Icteridae","Icterus","spurius","Orchard Oriole","Icterus spurius","Icterus spurius"
5070,0.0581245156290364,-0.306684875465876,0.0174165457184344,-0.070786400744033,1,0.400447427293065,0.264173703256935,"Invertebrate","LC","LT","Passeriformes","Icteridae","Icterus","galbula","Baltimore Oriole","Icterus galbula","Icterus galbula"
5110,-0.162265795206972,-0.471930606735321,0.0768800670953325,-0.0847362671223285,0.346767422334175,-0.342034203420342,-0.322535327658869,"Omnivore","NT","UT","Passeriformes","Icteridae","Quiscalus","quiscula","Common Grackle","Quiscalus quiscula","Quiscalus quiscula"
5190,0.568229531140659,-0.87054535637149,-0.0873605947955366,-0.267189758414204,0.818087855297158,0.0913610938471098,0.1687898089172,"PlantSeed","LC","LT","Passeriformes","Fringillidae","Haemorhous","mexicanus","House Finch","Haemorhous mexicanus","Carpodacus mexicanus"
5290,-0.190592903828199,-0.538420545013441,-0.0833646263612449,-0.229396879340247,0.332307988080361,-0.364029666254635,-0.382599456970842,"PlantSeed","LC","UT","Passeriformes","Fringillidae","Spinus","tristis","American Goldfinch","Spinus tristis","Carduelis tristis"
5400,0.402777777777779,-1,0.853211009174314,1,1,1,0.315384615384618,"Omnivore","LC","LT","Passeriformes","Passerellidae","Pooecetes","gramineus","Vesper Sparrow","Pooecetes gramineus","Pooecetes gramineus"
5420,1,-1,-0.126760563380281,1,-1,-0.799999999999962,-1,"Omnivore","LC","LT","Passeriformes","Passerellidae","Passerculus","sandwichensis","Savannah Sparrow","Passerculus sandwichensis","Passerculus sandwichensis"
5460,1,0.207820419985517,0.904761904761905,0.232142857142855,-0.70285714285714,1,-0.611940298507441,"Invertebrate","LC","LT","Passeriformes","Passerellidae","Ammodramus","savannarum","Grasshopper Sparrow","Ammodramus savannarum","Ammodramus savannarum"
5580,-1,1,-1,-1,1,1,-1,"PlantSeed","LC","UT","Passeriformes","Passerellidae","Zonotrichia","albicollis","White-throated Sparrow","Zonotrichia albicollis","Zonotrichia albicollis"
