"AOU","nint","tail95","abs.avg.td.ab.sig","fab.sig","ftas.sig","ftas5.sig","abs.avg.td.tas5.sig","fpr.sig","fpr5.sig","abs.avg.td.pr5.sig","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
580,16,"LT",0.0106054006968641,1,NA,NA,0,NA,NA,0,"Charadriiformes","Laridae","Leucophaeus","atricilla","Laughing Gull","Leucophaeus atricilla","Larus atricilla"
1320,418,"LT",0.000603921110981445,0.0227743271221537,NA,-1,0.000142957171198506,-0.116710340657126,0.494792353328939,0.000851122561648877,"Anseriformes","Anatidae","Anas","platyrhynchos","Mallard","Anas platyrhynchos","Anas platyrhynchos"
1720,14,"UT",0.010801393728223,-1,NA,NA,0,NA,NA,0,"Anseriformes","Anatidae","Branta","canadensis","Canada Goose","Branta canadensis","Branta canadensis"
1940,108,"UT",0.00142599045038069,-1,NA,NA,0,NA,-1,0.000832117295531929,"Pelecaniformes","Ardeidae","Ardea","herodias","Great Blue Heron","Ardea herodias","Ardea herodias"
2060,79,"UT",0.00191858157279584,-1,NA,1,0.00116438054073127,1,NA,0,"Gruiformes","Gruidae","Antigone","canadensis","Sandhill Crane","Antigone canadensis","Grus canadensis"
2730,6288,"UT",0.000901778510696775,-0.315103846626521,0.160096540627515,0.856382978723404,0.000375029922600208,-0.584190710024997,0.66133953610322,0.000763913195817502,"Charadriiformes","Charadriidae","Charadrius","vociferus","Killdeer","Charadrius vociferus","Charadrius vociferus"
2890,3181,"UT",0.00228151250839315,-0.520764318978347,0.129191446286221,-0.0783370554887473,0.000637605468882641,-0.281182193717369,0.0554448023433602,0.00149096538401072,"Galliformes","Odontophoridae","Colinus","virginianus","Northern Bobwhite","Colinus virginianus","Colinus virginianus"
2930,17,"LT",0.0177392908382865,1,NA,NA,0,NA,1,0.00716532391568259,"Galliformes","Odontophoridae","Callipepla","squamata","Scaled Quail","Callipepla squamata","Callipepla squamata"
2940,181,"UT",0.00116368606464281,-1,NA,1,0.000634300344581978,NA,NA,0,"Galliformes","Odontophoridae","Callipepla","californica","California Quail","Callipepla californica","Callipepla californica"
3091,1000,"UT",0.00305052264808362,-0.802855511136493,0.0982552800734626,0.920620226799352,0.00150557491289199,-0.59109934689782,0.399041623602368,0.000998405253283302,"Galliformes","Phasianidae","Phasianus","colchicus","Ring-necked Pheasant","Phasianus colchicus","Phasianus colchicus"
3131,2740,"LT",0.000414239934891528,0.435456638526477,0.500734214390603,0.362471740768651,8.43739667845063e-05,-0.0120643111397788,0.298571231680985,0.000372615412004766,"Columbiformes","Columbidae","Columba","livia","Rock Pigeon","Columba livia","Columba livia"
