Podilymbus podiceps
Gavia immer
Larus delawarensis
Chlidonias niger
Pelecanus erythrorhynchos
Anas platyrhynchos
Anas strepera
Anas discors
Anas cyanoptera
Anas clypeata
Anas acuta
Aythya americana
Branta canadensis
Cygnus buccinator
Eudocimus albus
Ardea herodias
Casmerodius albus
Bubulcus ibis
Butorides virescens
Grus canadensis
Porzana carolina
Fulica americana
NA
Gallinago gallinago
Limosa fedoa
Catoptrophorus semipalmatus
Bartramia longicauda
Numenius americanus
Charadrius vociferus
Colinus virginianus
Oreortyx pictus
Callipepla squamata
Callipepla californica
Callipepla gambelii
Phasianus colchicus
Patagioenas fasciata
Columba livia
Zenaida macroura
Zenaida asiatica
Columbina passerina
Cathartes aura
Coragyps atratus
Circus cyaneus
Buteo jamaicensis
Buteo lineatus
Buteo swainsoni
Falco sparverius
Geococcyx californianus
Coccyzus americanus
Picoides pubescens
Picoides nuttallii
Sphyrapicus varius
Dryocopus pileatus
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes carolinus
Melanerpes uropygialis
Caprimulgus carolinensis
Chordeiles minor
Chaetura pelagica
Archilochus colubris
Selasphorus platycercus
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Tyrannus vociferans
Myiarchus crinitus
Myiarchus tyrannulus
Myiarchus cinerascens
Sayornis phoebe
Sayornis saya
Sayornis nigricans
Contopus cooperi
Contopus virens
Contopus sordidulus
Empidonax difficilis
Empidonax virescens
Empidonax traillii
Empidonax alnorum
Empidonax minimus
Empidonax hammondii
Empidonax oberholseri
Eremophila alpestris
Pica hudsonia
Pica nuttalli
Cyanocitta cristata
Cyanocitta stelleri
Aphelocoma californica
Perisoreus canadensis
Corvus corax
Corvus cryptoleucus
Corvus brachyrhynchos
Corvus ossifragus
Nucifraga columbiana
Gymnorhinus cyanocephalus
Sturnus vulgaris
Dolichonyx oryzivorus
Molothrus ater
Xanthocephalus xanthocephalus
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Icterus parisorum
Icterus spurius
Icterus galbula
Icterus bullockii
Euphagus cyanocephalus
Quiscalus quiscula
Quiscalus mexicanus
Quiscalus major
Carpodacus purpureus
Carpodacus cassinii
Carpodacus mexicanus
Loxia curvirostra
Carduelis flammea
Carduelis hornemanni
Carduelis tristis
Carduelis psaltria
Carduelis pinus
Calcarius lapponicus
Calcarius ornatus
Pooecetes gramineus
Passerculus sandwichensis
Ammodramus savannarum
Ammodramus leconteii
Chondestes grammacus
Zonotrichia leucophrys
Zonotrichia atricapilla
Zonotrichia albicollis
Spizella passerina
Spizella pallida
Spizella breweri
Spizella pusilla
Amphispiza bilineata
Aimophila cassinii
Melospiza melodia
Melospiza lincolnii
Melospiza georgiana
Passerella iliaca
Pipilo erythrophthalmus
Pipilo maculatus
Pipilo chlorurus
Pipilo fuscus
Cardinalis cardinalis
Cardinalis sinuatus
Pheucticus ludovicianus
Pheucticus melanocephalus
Passerina caerulea
Passerina cyanea
Passerina amoena
Passerina ciris
Spiza americana
Calamospiza melanocorys
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Progne subis
Petrochelidon pyrrhonota
Hirundo rustica
Tachycineta bicolor
Tachycineta thalassina
Riparia riparia
Stelgidopteryx serripennis
Bombycilla cedrorum
Lanius ludovicianus
Vireo olivaceus
Vireo gilvus
Vireo flavifrons
Vireo solitarius
Vireo cassinii
Vireo plumbeus
Vireo griseus
Vireo huttoni
Vireo bellii
Mniotilta varia
Protonotaria citrea
Vermivora luciae
Vermivora ruficapilla
Vermivora celata
Vermivora peregrina
Parula americana
Dendroica aestiva
Dendroica petechia
Dendroica caerulescens
Dendroica magnolia
Dendroica pensylvanica
Dendroica striata
Dendroica fusca
Dendroica dominica
Dendroica nigrescens
Dendroica virens
Dendroica townsendi
Dendroica occidentalis
Dendroica pinus
Dendroica discolor
Seiurus aurocapilla
Seiurus noveboracensis
Seiurus motacilla
Oporornis formosus
Oporornis philadelphia
Oporornis tolmiei
Geothlypis trichas
Icteria virens
Wilsonia citrina
Wilsonia pusilla
Setophaga ruticilla
Passer domesticus
Anthus spragueii
Oreoscoptes montanus
Mimus polyglottos
Dumetella carolinensis
Toxostoma rufum
Campylorhynchus brunneicapillus
Salpinctes obsoletus
Thryothorus ludovicianus
Thryomanes bewickii
Troglodytes aedon
Troglodytes troglodytes
Cistothorus platensis
Cistothorus palustris
Certhia americana
Sitta carolinensis
Sitta canadensis
Sitta pusilla
Baeolophus bicolor
Baeolophus atricristatus
Baeolophus ridgwayi
Parus atricapillus
Parus carolinensis
Parus gambeli
Parus rufescens
Psaltriparus minimus
Auriparus flaviceps
Regulus satrapa
Regulus calendula
Polioptila caerulea
Polioptila melanura
Myadestes townsendi
Hylocichla mustelina
Catharus fuscescens
Catharus ustulatus
Catharus guttatus
Turdus migratorius
Zoothera naevia
Sialia sialis
Sialia mexicana
Sialia currucoides
Streptopelia decaocto
