Gavia immer
Larus atricilla
Anas platyrhynchos
Anas discors
Anas cyanoptera
Anas acuta
Branta canadensis
Ardea herodias
Bubulcus ibis
Grus canadensis
Gallinago gallinago
Catoptrophorus semipalmatus
Bartramia longicauda
Charadrius vociferus
Colinus virginianus
Callipepla squamata
Callipepla californica
Callipepla gambelii
Phasianus colchicus
Columba livia
Zenaida macroura
Cathartes aura
Buteo jamaicensis
Buteo swainsoni
Falco sparverius
Pandion haliaetus
Coccyzus americanus
Picoides pubescens
Picoides nuttallii
Sphyrapicus varius
Dryocopus pileatus
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes carolinus
Melanerpes aurifrons
Colaptes auratus
Caprimulgus carolinensis
Chordeiles minor
Chaetura pelagica
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Myiarchus crinitus
Myiarchus cinerascens
Sayornis phoebe
Contopus virens
Contopus sordidulus
Empidonax difficilis
Empidonax virescens
Empidonax traillii
Empidonax alnorum
Empidonax minimus
Eremophila alpestris
Pica hudsonia
Pica nuttalli
Cyanocitta cristata
Cyanocitta stelleri
Aphelocoma californica
Corvus corax
Corvus cryptoleucus
Corvus brachyrhynchos
Corvus ossifragus
Sturnus vulgaris
Dolichonyx oryzivorus
Molothrus ater
Xanthocephalus xanthocephalus
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Icterus spurius
Icterus galbula
Icterus bullockii
Euphagus cyanocephalus
Quiscalus quiscula
Quiscalus major
Carpodacus purpureus
Carpodacus mexicanus
Loxia curvirostra
Carduelis tristis
Carduelis psaltria
Carduelis pinus
Calcarius ornatus
Pooecetes gramineus
Passerculus sandwichensis
Ammodramus savannarum
Ammodramus maritimus
Chondestes grammacus
Zonotrichia albicollis
Spizella passerina
Spizella pallida
Spizella breweri
Spizella pusilla
Junco hyemalis
Aimophila cassinii
Melospiza melodia
Melospiza georgiana
Passerella iliaca
Pipilo erythrophthalmus
Pipilo maculatus
Pipilo fuscus
Pipilo crissalis
Cardinalis cardinalis
Pheucticus ludovicianus
Pheucticus melanocephalus
Passerina caerulea
Passerina cyanea
Passerina amoena
Passerina ciris
Spiza americana
Calamospiza melanocorys
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Progne subis
Petrochelidon pyrrhonota
Hirundo rustica
Tachycineta bicolor
Stelgidopteryx serripennis
Bombycilla cedrorum
Vireo olivaceus
Vireo gilvus
Vireo flavifrons
Vireo solitarius
Vireo cassinii
Vireo griseus
Mniotilta varia
Protonotaria citrea
Vermivora chrysoptera
Vermivora ruficapilla
Vermivora celata
Parula americana
Dendroica petechia
Dendroica caerulescens
Dendroica coronata
Dendroica magnolia
Dendroica pensylvanica
Dendroica fusca
Dendroica dominica
Dendroica nigrescens
Dendroica virens
Dendroica townsendi
Dendroica pinus
Dendroica discolor
Seiurus aurocapilla
Oporornis formosus
Oporornis philadelphia
Geothlypis trichas
Icteria virens
Wilsonia citrina
Wilsonia pusilla
Setophaga ruticilla
Passer domesticus
Oreoscoptes montanus
Mimus polyglottos
Dumetella carolinensis
Toxostoma rufum
Salpinctes obsoletus
Thryothorus ludovicianus
Thryomanes bewickii
Troglodytes aedon
Troglodytes troglodytes
Cistothorus platensis
Cistothorus palustris
Sitta carolinensis
Sitta canadensis
Baeolophus bicolor
Parus atricapillus
Parus carolinensis
Parus gambeli
Parus rufescens
Regulus calendula
Polioptila caerulea
Myadestes townsendi
Hylocichla mustelina
Catharus fuscescens
Catharus ustulatus
Catharus guttatus
Turdus migratorius
Sialia sialis
Sialia currucoides
