Larus atricilla
Anas platyrhynchos
Branta canadensis
Ardea herodias
Grus canadensis
Charadrius vociferus
Colinus virginianus
Callipepla squamata
Callipepla californica
Phasianus colchicus
Columba livia
Zenaida macroura
Cathartes aura
Buteo jamaicensis
Coccyzus americanus
Picoides pubescens
Picoides nuttallii
Dryocopus pileatus
Melanerpes erythrocephalus
Melanerpes carolinus
Colaptes auratus
Chordeiles minor
Chaetura pelagica
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus verticalis
Myiarchus crinitus
Myiarchus cinerascens
Sayornis phoebe
Contopus virens
Contopus sordidulus
Empidonax difficilis
Empidonax virescens
Empidonax traillii
Empidonax alnorum
Empidonax minimus
Eremophila alpestris
Pica hudsonia
Cyanocitta cristata
Aphelocoma californica
Corvus corax
Corvus brachyrhynchos
Sturnus vulgaris
Dolichonyx oryzivorus
Molothrus ater
Xanthocephalus xanthocephalus
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Icterus spurius
Icterus galbula
Euphagus cyanocephalus
Quiscalus quiscula
Quiscalus major
Carpodacus purpureus
Carpodacus mexicanus
Carduelis tristis
Calcarius ornatus
Pooecetes gramineus
Passerculus sandwichensis
Ammodramus savannarum
Chondestes grammacus
Zonotrichia albicollis
Spizella passerina
Spizella pallida
Spizella pusilla
Aimophila cassinii
Melospiza melodia
Melospiza georgiana
Passerella iliaca
Pipilo erythrophthalmus
Pipilo maculatus
Cardinalis cardinalis
Pheucticus ludovicianus
Passerina caerulea
Passerina cyanea
Passerina ciris
Spiza americana
Calamospiza melanocorys
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Progne subis
Petrochelidon pyrrhonota
Hirundo rustica
Tachycineta bicolor
Bombycilla cedrorum
Vireo olivaceus
Vireo gilvus
Vireo griseus
Mniotilta varia
Protonotaria citrea
Vermivora ruficapilla
Parula americana
Dendroica petechia
Dendroica coronata
Dendroica magnolia
Dendroica pensylvanica
Dendroica fusca
Dendroica dominica
Dendroica virens
Dendroica pinus
Dendroica discolor
Seiurus aurocapilla
Oporornis formosus
Oporornis philadelphia
Geothlypis trichas
Icteria virens
Wilsonia pusilla
Setophaga ruticilla
Passer domesticus
Mimus polyglottos
Dumetella carolinensis
Toxostoma rufum
Thryothorus ludovicianus
Thryomanes bewickii
Troglodytes aedon
Troglodytes troglodytes
Cistothorus platensis
Sitta carolinensis
Sitta canadensis
Baeolophus bicolor
Parus atricapillus
Parus carolinensis
Parus gambeli
Parus rufescens
Polioptila caerulea
Myadestes townsendi
Hylocichla mustelina
Catharus fuscescens
Catharus ustulatus
Catharus guttatus
Turdus migratorius
Sialia sialis
