Charadrius vociferus
Colinus virginianus
Columba livia
Zenaida macroura
Coccyzus americanus
Melanerpes carolinus
Chaetura pelagica
Contopus virens
Eremophila alpestris
Cyanocitta cristata
Corvus brachyrhynchos
Sturnus vulgaris
Dolichonyx oryzivorus
Molothrus ater
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Icterus galbula
Quiscalus quiscula
Carpodacus mexicanus
Carduelis tristis
Spizella passerina
Spizella pusilla
Melospiza melodia
Pipilo erythrophthalmus
Cardinalis cardinalis
Passerina cyanea
Passerina ciris
Spiza americana
Progne subis
Hirundo rustica
Bombycilla cedrorum
Vireo olivaceus
Vireo griseus
Dendroica petechia
Seiurus aurocapilla
Geothlypis trichas
Icteria virens
Setophaga ruticilla
Passer domesticus
Mimus polyglottos
Dumetella carolinensis
Toxostoma rufum
Thryothorus ludovicianus
Troglodytes aedon
Baeolophus bicolor
Hylocichla mustelina
Catharus fuscescens
Turdus migratorius
Sialia sialis
