ScientificName,BirdTreeName,Avibase.ID,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments_gbif,gbif_dwnld_type,cleaned_records
Podilymbus podiceps,Podilymbus podiceps,AVIBASE-9A8E55D0,9/29/2022,2482077,3507182,3507097,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482077&occurrence_status=present,manual,1013427
Gavia immer,Gavia immer,AVIBASE-7E022378,9/27/2022,2481962,2116046,2113396,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481962&occurrence_status=present,manual,670853
Larus delawarensis,Larus delawarensis,AVIBASE-23863F65,9/28/2022,2481134,7420547,7419935,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481134&occurrence_status=present,manual,3212581
Chlidonias niger,Chlidonias niger,AVIBASE-115AF02D,9/27/2022,2481119,522221,517236,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481119&occurrence_status=present,manual,220081
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,AVIBASE-866903B9,9/28/2022,5229155,1386233,1386203,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229155&occurrence_status=present,manual,602414
Anas platyrhynchos,Anas platyrhynchos,AVIBASE-85625D75,9/25/2022,9761484,18438327,18423910,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9761484&occurrence_status=present,manual,8792688
Mareca strepera,Anas strepera,AVIBASE-C235A4D7,9/28/2022,9362027,4151745,4149567,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9362027&occurrence_status=present,manual,1778904
Spatula discors,Anas discors,AVIBASE-90E2543E,9/30/2022,9422220,1963792,1963757,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9422220&occurrence_status=present,manual,847937
Spatula cyanoptera,Anas cyanoptera,AVIBASE-0E599E6C,9/30/2022,9345027,767651,767624,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9345027&occurrence_status=present,manual,147847
Spatula clypeata,Anas clypeata,AVIBASE-ED4CE8E7,9/30/2022,8332393,3953797,3953217,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8332393&occurrence_status=present,manual,1824634
Anas acuta,Anas acuta,AVIBASE-56CCA717,9/25/2022,2498112,2418018,2415106,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498112&occurrence_status=present,manual,969329
