State,Stratum,Area (km2),source
AL,3,3587,https://www.pwrc.usgs.gov/bbs/StrataNames/BBSstrata.htm
AL,4,72805,
AL,11,10166,
AL,13,34981,
AL,14,8526,
AL,21,1269,
AB,30,130906,
AB,37,33631,
AB,38,66488,
AB,64,36219,
AZ,56,12852,
AZ,81,59202,
AZ,82,83812,
AZ,83,12031,
AZ,84,38420,
AZ,87,87366,
AZ,88,67,
AR,4,32062,
AR,5,38822,
AR,19,63654,
BC,30,6700,
BC,63,116550,
BC,64,179078,
BC,67,3108,
BC,68,274530,
BC,94,138246,
CA,66,56957,
CA,80,16089,
CA,82,26066,
CA,83,54867,
CA,85,26708,
CA,88,9171,
CA,89,5791,
CA,90,35398,
CA,91,55991,
CA,92,79642,
CA,93,32823,
CA,95,5470,
CO,36,92466,
CO,62,86478,
CO,84,40368,
CO,86,6851,
CO,87,42590,
CT,12,11647,
CT,27,945,
DE,4,4968,
DE,10,166,
FL,1,18226,
FL,2,63636,
FL,3,45874,
FL,4,12357,
GA,3,21145,
GA,4,70479,
GA,11,44690,
GA,13,8169,
GA,21,319,
GA,23,5607,
ID,64,80199,
ID,65,40741,
ID,86,2727,
ID,88,21173,
ID,89,69293,
IL,14,7876,
IL,15,2137,
IL,16,9000,
IL,17,3375,
IL,31,100137,
IL,32,21860,
IN,14,12940,
IN,15,22160,
IN,16,18117,
IN,31,40274,
IA,17,10003,
IA,32,101323,
IA,40,33559,
KA,32,14514,
KA,33,31901,
KA,34,82466,
KA,35,44504,
KA,36,35092,
KA,55,3349,
KY,4,5457,
KY,5,637,
KY,13,158,
KY,14,47721,
KY,15,22269,
KY,21,23859,
KY,22,2593,
LA,3,13030,
LA,4,39539,
LA,5,35346,
LA,6,28456,
ME,12,2489,
ME,27,23168,
ME,28,54426,
MB,28,7236,
MB,30,78140,
MB,37,12059,
MB,40,11577,
MD,4,14797,
MD,10,7319,
MD,13,1751,
MD,24,1751,
MA,9,1728,
MA,12,13041,
MA,27,5499,
MI,16,69614,
MI,20,37495,
MI,28,40047,
MN,17,7752,
MN,20,32225,
MN,28,61106,
MN,30,14289,
MN,32,8664,
MN,40,81323,
MS,3,4520,
MS,4,96351,
MS,5,21627,
MO,5,10148,
MO,19,73572,
MO,31,21722,
MO,32,44240,
MO,33,29016,
MT,38,68500,
MT,39,159143,
MT,61,3823,
MT,64,68661,
MT,65,76944,
NE,32,34154,
NE,34,65131,
NE,36,90865,
NE,37,953,
NE,39,6985,
NV,80,99606,
NV,83,18565,
NV,88,137545,
NV,89,28897,
NB,28,63401,
NB,29,8166,
NF,25,169844,
NF,29,171525,
NH,12,2054,
NH,27,12953,
NH,28,8373,
NJ,4,11940,
NJ,10,3455,
NJ,12,2512,
NJ,13,1572,
NM,55,37060,
NM,56,72212,
NM,62,15102,
NM,81,5294,
NM,84,55374,
NM,87,129412,
NY,9,4097,
NY,10,479,
NY,12,3349,
NY,13,11639,
NY,16,18972,
NY,18,10044,
NY,24,49106,
NY,26,24872,
NY,27,1274,
NC,3,33380,
NC,4,25115,
NC,11,46180,
NC,23,21712,
ND,30,1217,
ND,37,65296,
ND,38,42927,
ND,39,50319,
ND,40,19656,
NS,28,52841,
OH,15,7902,
OH,16,14354,
OH,22,30321,
OH,24,14678,
OH,31,38871,
OK,4,2404,
OK,8,7050,
OK,19,20987,
OK,33,57192,
OK,34,15701,
OK,35,43256,
OK,54,22748,
OK,55,8811,
ON,16,25201,
ON,18,53395,
ON,28,158935,
ON,29,360538,
OR,65,47511,
OR,67,19259,
OR,85,27288,
OR,89,90528,
OR,93,52810,
OR,98,11717,
PA,10,13157,
PA,13,31349,
PA,22,13318,
PA,24,58638,
PE,28,5662,
QC,18,31515,
QC,28,109314,
QC,29,485736,
RI,12,2717,
SK,30,127482,
SK,37,71088,
SK,38,77485,
SC,3,20518,
SC,4,28568,
SC,11,27620,
SC,23,1577,
SD,32,4100,
SD,36,4258,
SD,37,64033,
SD,38,20186,
SD,39,95890,
SD,40,945,
SD,61,7413,
TN,4,22743,
TN,5,2546,
TN,13,19562,
TN,14,43737,
TN,21,11930,
TN,23,6522,
TX,3,12660,
TX,4,55281,
TX,6,45348,
TX,7,86369,
TX,8,98065,
TX,33,36053,
TX,34,3525,
TX,35,2404,
TX,53,78516,
TX,54,91336,
TX,55,80598,
TX,56,78355,
TX,81,10096,
TX,84,321,
UT,62,24732,
UT,80,37288,
UT,83,1134,
UT,84,46123,
UT,86,2145,
UT,87,57037,
UT,88,44167,
VT,13,466,
VT,18,4209,
VT,27,8573,
VT,28,10754,
VA,3,2396,
VA,4,19018,
VA,10,8086,
VA,11,41181,
VA,13,23960,
VA,21,3743,
VA,23,4641,
WA,64,18397,
WA,65,12012,
WA,67,32383,
WA,85,15203,
WA,89,44092,
WA,93,49109,
WA,98,1217,
WV,10,158,
WV,13,10655,
WV,21,11769,
WV,22,30694,
WV,24,9065,
WI,16,25918,
WI,17,38643,
WI,20,39272,
WI,28,37229,
WY,36,13452,
WY,39,57628,
WY,61,3515,
WY,62,7337,
WY,64,41424,
WY,84,14981,
WY,86,111127,
WY,87,2292,
YT,68,422517,
