"AOU","fLU_ab","fLU_pr","fLU_tas","Diet.5Cat","IUCN_status","tail","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName","comments","newBT","kipps","HWI","Avibase.ID","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments_gbif","gbif_dwnld_type","cleaned_records","bio1","bio12"
60,0.070063694,0.772641021,-0.888111888,"Invertebrate","LC","LT","Podicipediformes","Podicipedidae","Podilymbus","podiceps","Pied-billed Grebe","Podilymbus podiceps","Podilymbus podiceps","","Podilymbus_podiceps",41.7757142857143,34.0051445619669,"AVIBASE-9A8E55D0","9/29/2022",2482077,3507182,3507097,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482077&occurrence_status=present","manual",1013427,13.0075851393189,1111.1891477851
70,-1,-0.217726397,-0.539393939,"VertFishScav","LC","UT","Gaviiformes","Gaviidae","Gavia","immer","Common Loon","Gavia immer","Gavia immer","","Gavia_immer",178,49.2660247318559,"AVIBASE-7E022378","9/27/2022",2481962,2116046,2113396,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481962&occurrence_status=present","manual",670853,6.35398009950251,1191.97077246569
540,0.708108108,0.189521302,0.447988904,"VertFishScav","LC","LT","Charadriiformes","Laridae","Larus","delawarensis","Ring-billed Gull","Larus delawarensis","Larus delawarensis","","Larus_delawarensis",205.5,56.2486504167156,"AVIBASE-23863F65","9/28/2022",2481134,7420547,7419935,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481134&occurrence_status=present","manual",3212581,10.3135327635328,1048.57311621265
770,1,0.68866146,-1,"VertFishScav","LC","LT","Charadriiformes","Laridae","Chlidonias","niger","Black Tern","Chlidonias niger","Chlidonias niger","","Chlidonias_niger",123.65,62.1438664564263,"AVIBASE-115AF02D","9/27/2022",2481119,522221,517236,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481119&occurrence_status=present","manual",220081,12.5416167664671,906.770004001601
1250,1,0.502902375,-0.924528302,"VertFishScav","LC","LT","Pelecaniformes","Pelecanidae","Pelecanus","erythrorhynchos","American White Pelican","Pelecanus erythrorhynchos","Pelecanus erythrorhynchos","","Pelecanus_erythrorhynchos",251,44.8982035516799,"AVIBASE-866903B9","9/28/2022",5229155,1386233,1386203,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229155&occurrence_status=present","manual",602414,12.6406344410876,953.056497314649
1320,0.290780142,0.199898999,-0.113980514,"Omnivore","LC","LT","Anseriformes","Anatidae","Anas","platyrhynchos","Mallard","Anas platyrhynchos","Anas platyrhynchos","","Anas_platyrhynchos",133.5,50.6683863702847,"AVIBASE-85625D75","9/25/2022",9761484,18438327,18423910,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9761484&occurrence_status=present","manual",8792688,8.94394673123492,1514.63943966307
1350,0.689133425,0.473539573,-0.759794477,"PlantSeed","LC","LT","Anseriformes","Anatidae","Mareca","strepera","Gadwall","Mareca strepera","Anas strepera","","Anas_strepera",137,54.7874584824039,"AVIBASE-C235A4D7","9/28/2022",9362027,4151745,4149567,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9362027&occurrence_status=present","manual",1778904,10.2181818181818,1071.93741355074
1400,0.459637562,0.912851556,-0.806640625,"PlantSeed","LC","LT","Anseriformes","Anatidae","Spatula","discors","Blue-winged Teal","Spatula discors","Anas discors","","Anas_discors",98.7,53.843490263566,"AVIBASE-90E2543E","9/30/2022",9422220,1963792,1963757,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9422220&occurrence_status=present","manual",847937,10.9982288828338,1196.66189058019
1410,1,-1,0.677419355,"PlantSeed","LC","LT","Anseriformes","Anatidae","Spatula","cyanoptera","Cinnamon Teal","Spatula cyanoptera","Anas cyanoptera","","Anas_cyanoptera",94.75,51.0608890934536,"AVIBASE-0E599E6C","9/30/2022",9345027,767651,767624,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9345027&occurrence_status=present","manual",147847,13.1278156996587,717.572015721505
1420,0.156398104,0.489056604,-0.62195122,"Invertebrate","LC","LT","Anseriformes","Anatidae","Spatula","clypeata","Northern Shoveler","Spatula clypeata","Anas clypeata","","Anas_clypeata",130.25,57.9735750853848,"AVIBASE-ED4CE8E7","9/30/2022",8332393,3953797,3953217,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8332393&occurrence_status=present","manual",1824634,9.25333333333339,1136.59776080084
