"AOU","ScientificName"
60,"Podilymbus podiceps"
540,"Larus delawarensis"
770,"Chlidonias niger"
1250,"Pelecanus erythrorhynchos"
1320,"Anas platyrhynchos"
1350,"Mareca strepera"
1400,"Spatula discors"
1410,"Spatula cyanoptera"
1420,"Spatula clypeata"
1460,"Aythya americana"
1720,"Branta canadensis"
1840,"Eudocimus albus"
2010,"Butorides virescens"
2060,"Antigone canadensis"
2140,"Porzana carolina"
2210,"Fulica americana"
2240,"Phalaropus tricolor"
2300,"Gallinago delicata"
2580,"Tringa semipalmata"
2610,"Bartramia longicauda"
2730,"Charadrius vociferus"
2920,"Oreortyx pictus"
2930,"Callipepla squamata"
2940,"Callipepla californica"
2950,"Callipepla gambelii"
3120,"Patagioenas fasciata"
3390,"Buteo lineatus"
3940,"Dryobates pubescens"
4050,"Dryocopus pileatus"
4090,"Melanerpes carolinus"
4110,"Melanerpes uropygialis"
4200,"Chordeiles minor"
4230,"Chaetura pelagica"
4280,"Archilochus colubris"
4440,"Tyrannus tyrannus"
4480,"Tyrannus vociferans"
4520,"Myiarchus crinitus"
4530,"Myiarchus tyrannulus"
4540,"Myiarchus cinerascens"
4570,"Sayornis saya"
4620,"Contopus sordidulus"
4641,"Empidonax difficilis"
4650,"Empidonax virescens"
4660,"Empidonax traillii"
4661,"Empidonax alnorum"
4680,"Empidonax hammondii"
4760,"Pica nuttalli"
4780,"Cyanocitta stelleri"
4812,"Aphelocoma californica"
4813,"Aphelocoma woodhouseii"
4840,"Perisoreus canadensis"
4880,"Corvus brachyrhynchos"
4881,"Corvus brachyrhynchos / ossifragus"
4920,"Gymnorhinus cyanocephalus"
4970,"Xanthocephalus xanthocephalus"
5011,"Sturnella neglecta"
5040,"Icterus parisorum"
5060,"Icterus spurius"
5100,"Euphagus cyanocephalus"
5180,"Haemorhous cassinii"
5190,"Haemorhous mexicanus"
5275,"Carduelis flammea / hornemanni"
5280,"Acanthis flammea"
5290,"Spinus tristis"
5330,"Spinus pinus"
5360,"Calcarius lapponicus"
5460,"Ammodramus savannarum"
5520,"Chondestes grammacus"
5540,"Zonotrichia leucophrys"
5570,"Zonotrichia atricapilla"
5590,"Spizelloides arborea"
5600,"Spizella passerina"
5610,"Spizella pallida"
5670,"Junco hyemalis hyemalis"
5780,"Peucaea cassinii"
5850,"Passerella iliaca"
5880,"Pipilo maculatus"
5910,"Melozone fusca"
5930,"Cardinalis cardinalis"
5950,"Pheucticus ludovicianus"
5980,"Passerina cyanea"
6010,"Passerina ciris"
6080,"Piranga olivacea"
6100,"Piranga rubra"
6110,"Progne subis"
6120,"Petrochelidon pyrrhonota"
6140,"Tachycineta bicolor"
6150,"Tachycineta thalassina"
6190,"Bombycilla cedrorum"
6240,"Vireo olivaceus"
6270,"Vireo gilvus"
6280,"Vireo flavifrons"
6291,"Vireo cassinii"
6292,"Vireo plumbeus"
6360,"Mniotilta varia"
6430,"Leiothlypis luciae"
