AOU,English_Common_Name,ScientificName,BirdTreeName,mig_NB_BBS,comments,source
1940,Great Blue Heron,Ardea herodias,Ardea herodias,1,NA,NA
2730,Killdeer,Charadrius vociferus,Charadrius vociferus,NA,Medium-distance partial migrant,https://birdsoftheworld.org/bow/species/killde/cur/movement#mignat
2890,Northern Bobwhite,Colinus virginianus,Colinus virginianus,1,NA,NA
3091,Ring-necked Pheasant,Phasianus colchicus,Phasianus colchicus,1,NA,NA
3131,Rock Pigeon,Columba livia,Columba livia,0,Non-migratory and sedentary,https://birdsoftheworld.org/bow/species/rocpig/cur/movement
3160,Mourning Dove,Zenaida macroura,Zenaida macroura,1,NA,NA
3870,Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus americanus,1,NA,NA
3940,Downy Woodpecker,Dryobates pubescens,Picoides pubescens,NA,No convincing evidence species is migratory,https://birdsoftheworld.org/bow/species/dowwoo/cur/movement
4020,Yellow-bellied Sapsucker,Sphyrapicus varius,Sphyrapicus varius,1,NA,NA
4090,Red-bellied Woodpecker,Melanerpes carolinus,Melanerpes carolinus,1,NA,NA
4120,(Yellow-shafted Flicker) Northern Flicker,Colaptes auratus auratus,Colaptes auratus,1,NA,NA
4230,Chimney Swift,Chaetura pelagica,Chaetura pelagica,1,"Complete, long-distance migrant",https://birdsoftheworld.org/bow/species/chiswi/cur/movement
4440,Eastern Kingbird,Tyrannus tyrannus,Tyrannus tyrannus,1,NA,NA
4520,Great Crested Flycatcher,Myiarchus crinitus,Myiarchus crinitus,1,NA,NA
4560,Eastern Phoebe,Sayornis phoebe,Sayornis phoebe,1,NA,NA
4610,Eastern Wood-Pewee,Contopus virens,Contopus virens,1,NA,NA
4650,Acadian Flycatcher,Empidonax virescens,Empidonax virescens,1,NA,NA
4740,Horned Lark,Eremophila alpestris,Eremophila alpestris,1,NA,NA
4770,Blue Jay,Cyanocitta cristata,Cyanocitta cristata,NA,Only New World jay exhibiting latitudinal migration,https://birdsoftheworld.org/bow/species/blujay/cur/movement
