AOU,English_Common_Name,ScientificName,BirdTreeName,mig_NB_BBS,comments,source
580,Laughing Gull,Leucophaeus atricilla,Larus atricilla,1,NA,NA
1320,Mallard,Anas platyrhynchos,Anas platyrhynchos,1,NA,NA
1720,Canada Goose,Branta canadensis,Branta canadensis,1,NA,NA
1940,Great Blue Heron,Ardea herodias,Ardea herodias,1,NA,NA
2060,Sandhill Crane,Antigone canadensis,Grus canadensis,1,NA,NA
2730,Killdeer,Charadrius vociferus,Charadrius vociferus,NA,Medium-distance partial migrant,https://birdsoftheworld.org/bow/species/killde/cur/movement#mignat
2890,Northern Bobwhite,Colinus virginianus,Colinus virginianus,1,NA,NA
2930,Scaled Quail,Callipepla squamata,Callipepla squamata,0,NA,NA
2940,California Quail,Callipepla californica,Callipepla californica,0,NA,NA
3091,Ring-necked Pheasant,Phasianus colchicus,Phasianus colchicus,1,NA,NA
3131,Rock Pigeon,Columba livia,Columba livia,0,NA,NA
3160,Mourning Dove,Zenaida macroura,Zenaida macroura,1,NA,NA
3250,Turkey Vulture,Cathartes aura,Cathartes aura,1,NA,NA
3370,Red-tailed Hawk,Buteo jamaicensis,Buteo jamaicensis,NA,Partial Migrant,NA
3870,Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus americanus,1,NA,NA
3940,Downy Woodpecker,Dryobates pubescens,Picoides pubescens,NA,No convincing evidence species is migratory,https://birdsoftheworld.org/bow/species/dowwoo/cur/movement
3970,Nuttall's Woodpecker,Dryobates nuttallii,Picoides nuttallii,0,NA,https://birdsoftheworld.org/bow/species/nutwoo/cur/movement
4050,Pileated Woodpecker,Dryocopus pileatus,Dryocopus pileatus,1,NA,NA
4060,Red-headed Woodpecker,Melanerpes erythrocephalus,Melanerpes erythrocephalus,1,NA,NA
4090,Red-bellied Woodpecker,Melanerpes carolinus,Melanerpes carolinus,1,NA,NA
4120,(Yellow-shafted Flicker) Northern Flicker,Colaptes auratus auratus,Colaptes auratus,1,NA,NA
4130,(Red-shafted Flicker) Northern Flicker,Colaptes auratus cafer,Colaptes auratus,1,NA,NA
4200,Common Nighthawk,Chordeiles minor,Chordeiles minor,1,NA,NA
4230,Chimney Swift,Chaetura pelagica,Chaetura pelagica,1,NA,https://birdsoftheworld.org/bow/species/chiswi/cur/movement
4430,Scissor-tailed Flycatcher,Tyrannus forficatus,Tyrannus forficatus,1,NA,NA
4440,Eastern Kingbird,Tyrannus tyrannus,Tyrannus tyrannus,1,NA,NA
4470,Western Kingbird,Tyrannus verticalis,Tyrannus verticalis,1,NA,NA
4520,Great Crested Flycatcher,Myiarchus crinitus,Myiarchus crinitus,1,NA,NA
4540,Ash-throated Flycatcher,Myiarchus cinerascens,Myiarchus cinerascens,1,NA,https://birdsoftheworld.org/bow/species/astfly/cur/movement
4560,Eastern Phoebe,Sayornis phoebe,Sayornis phoebe,1,NA,NA
4610,Eastern Wood-Pewee,Contopus virens,Contopus virens,1,NA,NA
