"AOU","nAbsentSitesAllyr","totsites","ngoodsites","Seq","English_Common_Name","Freanch_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species","ScientificName","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","mixed_name","Diet.5Cat","Diet.Certainty","Strat.7Cat","ForStrat.SpecLevel","Nocturnal","PelagicSpecialist","edit_source","IUCN_status"
540,107,161,3,442,"Ring-billed Gull","Goéland à bec cerclé","Larus delawarensis","Charadriiformes","Laridae","Larus","delawarensis","Larus delawarensis",4381,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Ring-billed Gull","VertFishScav","A","ground",1,0,0,"","LC"
580,152,161,2,436,"Laughing Gull","Mouette atricille","Leucophaeus atricilla","Charadriiformes","Laridae","Leucophaeus","atricilla","Leucophaeus atricilla",4433,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Larus atricilla","VertFishScav","A","mixed",1,0,1,"","LC"
690,151,161,2,474,"Forster's Tern","Sterne de Forster","Sterna forsteri","Charadriiformes","Laridae","Sterna","forsteri","Sterna forsteri",4469,"Nonpasseriformes","Charadriiformes","Laridae","Gulls and terns",61,"BL3","Forster's Tern","VertFishScav","A","watbelowsurf",1,0,0,"","LC"
1320,13,161,6,40,"Mallard","Canard colvert","Anas platyrhynchos","Anseriformes","Anatidae","Anas","platyrhynchos","Anas platyrhynchos",679,"Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Mallard","Omnivore","A","wataroundsurf",1,0,0,"","LC"
1940,9,161,4,583,"Great Blue Heron","Grand Héron","Ardea herodias","Pelecaniformes","Ardeidae","Ardea","herodias","Ardea herodias",5213,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Great Blue Heron","VertFishScav","A","wataroundsurf",1,0,0,"","LC"
1960,103,161,2,586,"Great Egret","Grande Aigrette","Ardea alba","Pelecaniformes","Ardeidae","Ardea","alba","Ardea alba",5230,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Casmerodius albus","VertFishScav","A","mixed",1,0,0,"","LC"
2001,123,161,6,595,"Cattle Egret","Héron garde-boeufs","Bubulcus ibis","Pelecaniformes","Ardeidae","Bubulcus","ibis","Bubulcus ibis",5243,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Cattle Egret","Invertebrate","A","ground",1,0,0,"","LC"
2300,114,161,5,376,"Wilson's Snipe","B�cassine de Wilson","Gallinago delicata","Charadriiformes","Scolopacidae","Gallinago","delicata","Gallinago delicata",NA,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,"ground",NA,NA,NA,"https://birdsoftheworld.org/bow/species/wilsni1/cur/foodhabits","LC"
2580,153,161,3,386,"Willet","Chevalier semipalmé","Tringa semipalmata","Charadriiformes","Scolopacidae","Tringa","semipalmata","Tringa semipalmata",4107,"Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Catoptrophorus semipalmatus","Invertebrate","A","wataroundsurf",1,0,0,"","LC"
2610,107,161,4,328,"Upland Sandpiper","Maubèche des champs","Bartramia longicauda","Charadriiformes","Scolopacidae","Bartramia","longicauda","Bartramia longicauda",4090,"Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Upland Sandpiper","Invertebrate","A","ground",1,0,0,"","LC"
