"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,250,3,3,0,0,0,0,0,0
20,0,250,2,2,0,0,0,0,0,0
40,0,250,0,0,0,0,0,0,0,0
60,0,250,21,14,7,0,4,3,0.24901185770751,-0.216403162055336
70,0,250,19,16,2,1,0,2,0,-0.119565217391304
230,0,250,0,0,0,0,0,0,0,0
440,0,250,1,1,0,0,0,0,0,0
510,0,250,4,3,0,1,0,0,0,0
530,0,250,4,4,0,0,0,0,0,0
540,0,250,78,74,4,0,3,1,0.468379446640316,-0.0800395256916996
580,0,250,28,27,0,1,0,0,0,0
640,0,250,0,0,0,0,0,0,0,0
650,0,250,1,1,0,0,0,0,0,0
690,0,250,0,0,0,0,0,0,0,0
770,0,250,8,7,1,0,1,0,0.139328063241107,0
1200,0,250,19,19,0,0,0,0,0,0
1250,0,250,9,8,1,0,1,0,0.195652173913044,0
1260,0,250,1,1,0,0,0,0,0,0
1290,0,250,0,0,0,0,0,0,0,0
1320,0,250,537,516,16,5,10,6,1.07905138339921,-0.592885375494071
1330,0,250,1,1,0,0,0,0,0,0
1350,0,250,93,87,6,0,5,1,0.606719367588933,-0.111660079051383
1370,0,250,6,5,0,1,0,0,0,0
1390,0,250,1,0,0,1,0,0,0,0
1400,0,250,97,88,7,2,5,2,0.437747035573123,-0.162055335968379
1410,0,250,3,2,1,0,1,0,0.117588932806324,0
1420,0,250,33,29,3,1,2,1,0.120553359683794,-0.0879446640316206
1430,0,250,27,23,4,0,2,2,0.16600790513834,-0.184782608695652
1440,0,250,0,0,0,0,0,0,0,0
1460,0,250,6,5,1,0,1,0,0.00988142292490113,0
1490,0,250,13,13,0,0,0,0,0,0
1500,0,250,1,1,0,0,0,0,0,0
1510,0,250,0,0,0,0,0,0,0,0
1530,0,250,0,0,0,0,0,0,0,0
1670,0,250,1,1,0,0,0,0,0,0
1720,0,250,138,128,5,5,4,1,0.318181818181818,-0.16699604743083
1770,0,250,1,1,0,0,0,0,0,0
1810,0,250,1,0,1,0,0,1,0,-0.130434782608696
1840,0,250,25,23,2,0,2,0,0.240118577075099,0
1870,0,250,0,0,0,0,0,0,0,0
1900,0,250,3,2,0,1,0,0,0,0
1940,0,250,133,127,3,3,1,2,0.0602766798418972,-0.179841897233202
1960,0,250,73,71,2,0,0,2,0,-0.212450592885376
1970,0,250,2,2,0,0,0,0,0,0
1990,0,250,0,0,0,0,0,0,0,0
2000,0,250,14,13,0,1,0,0,0,0
2001,0,250,161,152,5,4,2,3,0.134387351778656,-0.192687747035573
2010,0,250,18,15,3,0,2,1,0.260869565217391,-0.138339920948617
2060,0,250,234,220,11,3,6,5,0.735177865612648,-0.474308300395257
2110,0,250,4,4,0,0,0,0,0,0
2120,0,250,0,0,0,0,0,0,0,0
2140,0,250,21,17,4,0,3,1,0.403162055335968,-0.0810276679841897
2190,0,250,0,0,0,0,0,0,0,0
2210,0,250,11,6,5,0,5,0,0.5,0
2240,0,250,10,9,1,0,1,0,0.190711462450593,0
2250,0,250,1,1,0,0,0,0,0,0
2260,0,250,0,0,0,0,0,0,0,0
2300,0,250,357,322,28,7,13,15,1.39426877470356,-0.74407114624506
2490,0,250,58,53,3,2,0,3,0,-0.3300395256917
2540,0,250,0,0,0,0,0,0,0,0
2550,0,250,1,1,0,0,0,0,0,0
2580,0,250,39,35,1,3,1,0,0.16304347826087,0
2610,0,250,164,156,4,4,2,2,0.312252964426877,-0.197628458498024
2630,0,250,27,26,0,1,0,0,0,0
2640,0,250,21,18,2,1,0,2,0,-0.301383399209486
2730,0,250,5799,5376,305,118,158,147,16.7116166700556,-14.1574230559556
2882,0,250,0,0,0,0,0,0,0,0
2890,0,250,2251,1944,262,45,119,143,11.5079051383399,-14.7005928853755
2920,0,250,10,8,1,1,1,0,0.0316205533596838,0
2930,0,250,89,44,45,0,27,18,2.96837944664032,-1.62154150197628
2940,0,250,123,115,6,2,5,1,0.272762463158754,-0.16304347826087
2950,0,250,101,81,20,0,12,8,1.32312252964427,-0.927865612648221
2971,0,250,3,3,0,0,0,0,0,0
3091,0,250,659,567,83,9,32,51,3.21146245059289,-5.87252964426878
3100,0,250,11,11,0,0,0,0,0,0
3120,0,250,26,23,2,1,1,1,0.142292490118577,-0.041501976284585
3131,0,250,2190,2070,56,64,25,31,2.72924901185771,-3.74110671936759
3160,0,250,17760,16288,1153,319,567,584,56.3544679721123,-64.3379446640316
3190,0,250,81,73,2,6,1,1,0.0276679841897233,-0.121541501976285
3200,0,250,42,37,5,0,2,3,0.103754940711463,-0.389328063241107
3210,0,250,14,13,0,1,0,0,0,0
3250,0,250,1559,1466,51,42,20,31,1.90810276679842,-2.89624505928854
3260,0,250,145,137,3,5,0,3,0,-0.373517786561265
3290,0,250,1,1,0,0,0,0,0,0
3310,0,250,7,5,2,0,0,2,0,-0.116600790513834
3370,0,250,410,377,22,11,12,10,1.15118577075099,-1.39426877470356
3390,0,250,117,110,6,1,3,3,0.262845849802372,-0.240118577075099
3420,0,250,115,107,6,2,1,5,0.050395256916996,-0.436758893280633
3480,0,250,1,1,0,0,0,0,0,0
3490,0,250,0,0,0,0,0,0,0,0
3520,0,250,2,2,0,0,0,0,0,0
3600,0,250,45,39,5,1,1,4,0.127470355731225,-0.258893280632411
3620,0,250,6,6,0,0,0,0,0,0
3640,0,250,34,34,0,0,0,0,0,0
3680,0,250,0,0,0,0,0,0,0,0
3750,0,250,0,0,0,0,0,0,0,0
3780,0,250,4,4,0,0,0,0,0,0
3850,0,250,2,0,2,0,1,1,0.173913043478261,-0.325098814229249
3870,0,250,2226,2010,189,27,88,101,7.76284584980237,-10.4416996047431
3880,0,250,0,0,0,0,0,0,0,0
3900,0,250,0,0,0,0,0,0,0,0
3930,0,250,88,83,5,0,0,5,0,-0.709486166007905
3940,0,250,2441,2266,127,48,69,58,6.70802680619038,-6.04130827415364
3960,0,250,33,33,0,0,0,0,0,0
3970,0,250,23,22,1,0,0,1,0,-0.0158102766798419
3990,0,250,3,2,1,0,0,1,0,-0.0237154150197628
4020,0,250,731,663,50,18,19,31,1.28656126482213,-3.56772343946754
4021,0,250,8,8,0,0,0,0,0,0
4030,0,250,4,4,0,0,0,0,0,0
4050,0,250,592,552,22,18,9,13,0.984189723320158,-0.905138339920949
4060,0,250,207,194,9,4,5,4,0.371541501976285,-0.443675889328063
4070,0,250,40,35,5,0,0,5,0,-0.696640316205534
4090,0,250,7454,6961,313,180,173,140,16.6802634513649,-15.7630030978238
4100,0,250,16,15,0,1,0,0,0,0
4110,0,250,30,27,3,0,1,2,0.16501976284585,-0.0859683794466403
4120,0,250,3438,3252,120,66,56,64,5.78359683794466,-6.50889328063241
4130,0,250,633,576,50,7,22,28,2.00592885375494,-2.49407114624506
4140,0,250,8,8,0,0,0,0,0,0
4160,0,250,80,76,3,1,0,3,0,-0.299407114624506
4171,0,250,0,0,0,0,0,0,0,0
4200,0,250,225,211,9,5,4,5,0.954545454545455,-0.356719367588933
4210,0,250,12,11,0,1,0,0,0,0
4230,0,250,3733,3452,197,84,105,90,10.2114624505929,-9.56620553359684
4250,0,250,3,3,0,0,0,0,0,0
4280,0,250,68,63,2,3,2,0,0.198616600790514,0
4290,0,250,0,0,0,0,0,0,0,0
4310,0,250,13,13,0,0,0,0,0,0
4320,0,250,155,140,10,5,4,6,0.337564063820262,-0.828063241106719
4330,0,250,37,36,0,1,0,0,0,0
4430,0,250,347,317,23,7,9,13,0.781620553359684,-1.35375494071146
4440,0,250,3405,3168,165,72,88,76,9.33136593473366,-8.15909090909091
4470,0,250,702,634,58,10,27,31,3.06818181818182,-3.76284584980237
4480,0,250,103,98,4,1,3,1,0.371541501976285,-0.0612648221343874
4520,0,250,4893,4559,225,109,129,96,12.1561264822134,-9.00790513833992
4530,0,250,10,7,3,0,1,2,0.134387351778656,-0.0770750988142292
4540,0,250,485,440,35,10,19,16,1.51877470355731,-1.45948616600791
4560,0,250,7342,6654,606,82,297,308,26.1612932506161,-29.6982568426964
4570,0,250,111,98,10,3,9,1,0.792490118577075,-0.113636363636364
4580,0,250,43,38,4,1,1,3,0.0879446640316206,-0.339920948616601
4590,0,250,86,81,3,2,2,1,0.0889328063241107,-0.263833992094862
4610,0,250,6987,6503,270,214,110,160,11.7025691699605,-15.703557312253
4620,0,250,601,557,29,15,20,9,1.6403162055336,-1.4802371541502
4630,0,250,2,2,0,0,0,0,0,0
4640,0,250,34,33,0,1,0,0,0,0
4641,0,250,113,102,8,3,6,2,0.271739130434783,-0.101778656126482
4650,0,250,1677,1583,44,50,26,18,2.55741656217155,-1.92225901437044
4660,0,250,740,690,31,19,18,13,2.45553359683795,-1.15711462450593
4661,0,250,878,819,40,19,23,16,2.10375494071146,-1.50592885375494
4670,0,250,1300,1196,70,34,32,38,3.09288537549407,-3.89001678146148
4680,0,250,93,84,8,1,6,1,0.836956521739131,-0.256916996047431
4690,0,250,97,90,5,2,2,3,0.152173913043478,-0.712450592885376
4691,0,250,12,12,0,0,0,0,0,0
4710,0,250,1,1,0,0,0,0,0,0
4740,0,250,2275,2067,140,68,62,77,6.16304347826087,-8.93873517786562
4750,0,250,624,584,33,7,11,22,0.99901185770751,-1.95454545454546
4760,0,250,12,10,2,0,1,1,0.145256916996047,-0.131422924901186
4770,0,250,15011,14067,576,368,273,303,28.0792626623362,-30.6560666787917
4780,0,250,420,385,26,9,15,11,1.9017009649195,-0.956521739130435
4812,0,250,136,125,7,4,3,4,0.188735177865613,-0.179841897233202
4813,0,250,33,30,3,0,2,1,0.0998023715415021,-0.0316205533596838
4840,0,250,40,33,7,0,4,3,0.808300395256917,-0.124505928853755
4860,0,250,1135,1082,29,24,10,19,0.978260869565217,-2.19565217391304
4870,0,250,88,81,7,0,1,6,0.194664031620553,-0.279644268774704
4880,0,250,16446,14756,1404,286,797,604,86.6338060269895,-58.1560233240042
4881,0,250,10,8,1,1,1,0,0.162055335968379,0
4890,0,250,2,2,0,0,0,0,0,0
4900,0,250,308,284,16,8,7,9,0.469367588932806,-0.819169960474308
4910,0,250,5,4,1,0,0,1,0,-0.0741106719367589
4920,0,250,40,37,3,0,2,1,0.209486166007905,-0.0583003952569169
4930,0,250,13377,12481,577,319,277,299,25.9042005208237,-31.6768774703557
4940,0,250,2235,2095,91,49,42,49,3.61166007905138,-5.49110671936759
4950,0,250,10234,9486,469,279,227,242,23.414373622851,-24.9428631453568
4960,0,250,0,0,0,0,0,0,0,0
4970,0,250,194,169,22,3,12,10,1.35474308300395,-0.972332015810277
4980,0,250,15571,14222,840,509,389,450,38.1033761624196,-48.2925709477143
5000,0,250,0,0,0,0,0,0,0,0
5010,0,250,6047,5520,367,160,170,197,17.75,-19.1971584407355
5011,0,250,1771,1563,162,46,91,71,9.73617211282487,-7.4605082516541
5040,0,250,33,32,1,0,1,0,0.0019762845849802,0
5050,0,250,1,1,0,0,0,0,0,0
5060,0,250,1347,1248,68,31,34,34,4.05928853754941,-3.57707509881423
5070,0,250,4375,4044,219,112,106,113,9.75296442687747,-11.0867224507504
5080,0,250,150,137,7,6,3,4,0.326086956521739,-0.33201581027668
5100,0,250,983,924,27,32,15,12,1.65612648221344,-1.12944664031621
5110,0,250,12984,11937,631,416,286,343,29.3656126482213,-35.1245059288538
5120,0,250,38,35,1,2,0,1,0,-0.158102766798419
5130,0,250,59,53,3,3,0,3,0,-0.427865612648222
5140,0,250,0,0,0,0,0,0,0,0
5150,0,250,3,3,0,0,0,0,0,0
