"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,250,500,0,0,0,0,0,0,0,0
20,250,500,0,0,0,0,0,0,0,0
40,250,500,1,0,1,0,1,0,0.0468661773009599,0
60,250,500,6,2,4,0,3,1,0.139469226425748,-0.0211744776962168
70,250,500,22,10,12,0,9,3,0.893845285149633,-0.196216826651609
230,250,500,1,1,0,0,0,0,0,0
440,250,500,1,1,0,0,0,0,0,0
510,250,500,3,2,1,0,0,1,0,-0.0403726708074534
530,250,500,5,1,4,0,4,0,0.405985319028797,0
540,250,500,106,56,50,0,25,25,1.72924901185771,-2.40231507622812
580,250,500,28,1,27,0,8,19,0.628740824392999,-1.3794466403162
640,250,500,0,0,0,0,0,0,0,0
650,250,500,0,0,0,0,0,0,0,0
690,250,500,0,0,0,0,0,0,0,0
770,250,500,6,0,6,0,3,3,0.29587803500847,-0.133258046301524
1200,250,500,5,0,5,0,3,2,0.192264257481649,-0.208921513269339
1250,250,500,4,4,0,0,0,0,0,0
1260,250,500,0,0,0,0,0,0,0,0
1290,250,500,1,0,1,0,0,1,0,-0.141445511010728
1320,250,500,1005,473,532,0,301,231,30.7107007953718,-19.5745341614907
1330,250,500,0,0,0,0,0,0,0,0
1350,250,500,61,19,42,0,28,14,2.72586109542631,-0.618577075098814
1370,250,500,6,3,3,0,0,3,0,-0.164878599661208
1390,250,500,2,0,2,0,1,1,0.015810276679842,-0.0508187464709203
1400,250,500,58,12,46,0,35,11,3.50310559006211,-0.476002258610954
1410,250,500,3,1,2,0,2,0,0.0920383963862225,0
1420,250,500,24,8,16,0,12,4,1.18266516092603,-0.182947487295313
1430,250,500,18,0,18,0,13,5,1.12055335968379,-0.228119706380576
1440,250,500,3,1,2,0,0,2,0,-0.206662902315076
1460,250,500,0,0,0,0,0,0,0,0
1490,250,500,9,0,9,0,5,4,0.502258610954263,-0.182947487295313
1500,250,500,2,0,2,0,0,2,0,-0.0330321852060981
1510,250,500,0,0,0,0,0,0,0,0
1530,250,500,0,0,0,0,0,0,0,0
1670,250,500,0,0,0,0,0,0,0,0
1720,250,500,202,92,110,0,36,74,2.83935629587804,-6.88509316770186
1770,250,500,2,0,2,0,0,2,0,-0.165160926030491
1810,250,500,0,0,0,0,0,0,0,0
1840,250,500,6,6,0,0,0,0,0,0
1870,250,500,0,0,0,0,0,0,0,0
1900,250,500,3,2,1,0,1,0,0.0897797854319594,0
