"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,250,500,0,0,0,0,0,0,0,0
20,250,500,0,0,0,0,0,0,0,0
40,250,500,1,0,1,0,0,1,0,-0.0721343873517787
60,250,500,6,0,6,0,1,5,0.00395256916996045,-0.104743083003953
70,250,500,22,0,22,0,8,13,0.0938735177865613,-0.282608695652174
230,250,500,1,0,1,0,0,1,0,-0.0296442687747036
440,250,500,1,0,1,0,0,1,0,-0.0296442687747036
510,250,500,3,0,3,0,0,3,0,-0.0691699604743085
530,250,500,5,0,5,0,4,1,0.113636363636364,-0.00592885375494073
540,250,500,106,0,106,0,45,58,0.771739130434783,-1.10573122529644
580,250,500,28,0,28,0,16,12,0.685770750988142,-0.237154150197629
640,250,500,0,0,0,0,0,0,0,0
650,250,500,0,0,0,0,0,0,0,0
690,250,500,0,0,0,0,0,0,0,0
770,250,500,6,0,6,0,0,6,0,-0.191699604743083
1200,250,500,5,1,4,0,1,3,0.0266798418972332,-0.0810276679841898
1250,250,500,4,0,4,0,0,4,0,-0.0928853754940711
1260,250,500,0,0,0,0,0,0,0,0
1290,250,500,1,0,1,0,0,1,0,-0.140316205533597
1320,250,500,1005,1,1004,0,371,620,11.4673913043478,-16.9950592885376
1330,250,500,0,0,0,0,0,0,0,0
1350,250,500,61,0,61,0,7,54,0.359683794466403,-2.27470355731225
1370,250,500,6,0,6,0,2,4,0.152173913043478,-0.273715415019763
1390,250,500,2,0,2,0,1,1,0.0217391304347826,-0.00494071146245056
1400,250,500,58,0,58,0,4,54,0.0760869565217391,-1.8903162055336
1410,250,500,3,0,3,0,3,0,0.179841897233201,0
1420,250,500,24,0,24,0,1,23,0.0217391304347826,-1.07114624505929
1430,250,500,18,0,18,0,1,17,0.000988142292490113,-0.704545454545454
1440,250,500,3,0,3,0,2,1,0.201581027667984,-0.0118577075098814
1460,250,500,0,0,0,0,0,0,0,0
1490,250,500,9,0,9,0,1,8,0.0217391304347826,-0.384387351778656
1500,250,500,2,0,2,0,1,1,0.00592885375494068,-0.0177865612648221
1510,250,500,0,0,0,0,0,0,0,0
1530,250,500,0,0,0,0,0,0,0,0
1670,250,500,0,0,0,0,0,0,0,0
1720,250,500,202,0,202,0,120,82,5.42391304347826,-1.64229249011858
1770,250,500,2,0,2,0,2,0,0.0207509881422925,0
1810,250,500,0,0,0,0,0,0,0,0
1840,250,500,6,0,6,0,0,6,0,-0.517786561264822
