"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,400,3,0,3,0,0,3,0,-0.0266798418972332
20,0,400,2,0,2,0,1,1,0.00988142292490113,-0.0513833992094862
40,0,400,1,0,1,0,0,1,0,-0.0879446640316206
60,0,400,26,0,26,0,5,21,0.0237154150197627,-0.564229249011858
70,0,400,30,0,30,0,22,6,0.442687747035573,-0.0948616600790514
230,0,400,1,0,1,0,1,0,0.00197628458498023,0
440,0,400,2,0,2,0,1,1,0.00197628458498023,-0.00988142292490113
510,0,400,5,0,5,0,3,2,0.041501976284585,-0.0464426877470356
530,0,400,9,0,9,0,4,5,0.200592885375494,-0.233201581027668
540,0,400,131,0,131,0,84,45,1.77272727272727,-1.03952569169961
580,0,400,48,0,48,0,32,16,0.445652173913043,-0.203557312252965
640,0,400,0,0,0,0,0,0,0,0
650,0,400,1,0,1,0,1,0,0.00494071146245062,0
690,0,400,0,0,0,0,0,0,0,0
770,0,400,12,0,12,0,2,10,0.0079051383399209,-0.340909090909091
1200,0,400,22,0,22,0,3,19,0.0148221343873517,-0.595849802371542
1250,0,400,10,0,10,0,1,9,0.00790513833992096,-0.0592885375494075
1260,0,400,1,0,1,0,1,0,0.00494071146245062,0
1290,0,400,1,0,1,0,1,0,0.155138339920949,0
1320,0,400,1134,7,1127,0,393,721,11.1136363636364,-31.2638339920949
1330,0,400,1,0,1,0,0,1,0,-0.0138339920948616
1350,0,400,136,0,136,0,14,120,0.402173913043478,-5.7203557312253
1370,0,400,10,0,10,0,3,7,0.373517786561265,-0.241106719367589
1390,0,400,3,0,3,0,0,3,0,-0.282608695652174
1400,0,400,136,0,136,0,15,120,0.0760869565217389,-3.81521739130435
1410,0,400,5,0,5,0,5,0,0.759881422924901,0
1420,0,400,51,0,51,0,3,48,0.0237154150197629,-2.10474308300395
1430,0,400,42,0,42,0,2,40,0.0227272727272728,-1.20454545454546
1440,0,400,2,0,2,0,1,1,0.0938735177865613,-0.00296442687747034
1460,0,400,6,0,6,0,1,5,0.000988142292490168,-0.0424901185770752
1490,0,400,20,0,20,0,0,20,0,-0.573122529644269
1500,0,400,1,0,1,0,1,0,0.00988142292490113,0
1510,0,400,0,0,0,0,0,0,0,0
1530,0,400,0,0,0,0,0,0,0,0
1670,0,400,1,0,1,0,0,1,0,-0.00296442687747028
1720,0,400,264,0,264,0,179,83,9.30928853754941,-2.00494071146245
1770,0,400,3,0,3,0,0,3,0,-0.0869565217391304
1810,0,400,1,0,1,0,0,1,0,-0.0434782608695652
1840,0,400,31,4,27,0,18,9,0.889328063241107,-0.394268774703557
1870,0,400,0,0,0,0,0,0,0,0
1900,0,400,3,0,3,0,1,2,0.00197628458498023,-0.0128458498023716
1940,0,400,293,1,292,0,166,122,4.77667984189723,-2.26482213438735
1960,0,400,128,0,128,0,87,39,4.14130434782609,-2.00296442687747
1970,0,400,3,0,3,0,2,1,0.132411067193676,-0.00691699604743079
1990,0,400,1,0,1,0,1,0,0.142292490118577,0
2000,0,400,29,0,29,0,21,8,0.728260869565218,-0.466403162055336
2001,0,400,257,8,249,0,135,112,5.72529644268775,-6.25
2010,0,400,33,0,33,0,23,10,0.924901185770751,-0.178853754940712
2060,0,400,285,0,285,0,208,70,5.04051383399209,-1.6403162055336
2110,0,400,6,0,6,0,1,4,0.0177865612648221,-0.0375494071146246
2120,0,400,0,0,0,0,0,0,0,0
2140,0,400,40,0,40,0,8,31,0.141304347826087,-1.40810276679842
2190,0,400,0,0,0,0,0,0,0,0
2210,0,400,21,0,21,0,3,18,0.148221343873518,-0.548418972332016
2240,0,400,10,0,10,0,1,9,0.000988142292490168,-0.0810276679841899
2250,0,400,1,0,1,0,0,1,0,-0.0118577075098815
2260,0,400,0,0,0,0,0,0,0,0
2300,0,400,659,0,659,0,246,400,8.60770750988142,-16.0256916996047
2490,0,400,102,0,102,0,12,89,0.133399209486166,-4.33498023715415
2540,0,400,0,0,0,0,0,0,0,0
2550,0,400,1,0,1,0,0,1,0,-0.0217391304347826
2580,0,400,60,0,60,0,14,43,0.626482213438735,-2.1897233201581
2610,0,400,298,0,298,0,75,219,1.16501976284585,-6.30138339920949
2630,0,400,48,0,48,0,13,34,0.764822134387352,-1.44071146245059
2640,0,400,32,0,32,0,17,15,0.912055335968379,-0.607707509881423
2730,0,400,13029,14,13015,0,9092,3759,264.151185770751,-88.4782608695653
2882,0,400,0,0,0,0,0,0,0,0
2890,0,400,4859,4,4855,0,2946,1833,71.0217391304348,-45.8231225296443
2920,0,400,19,0,19,0,15,4,1.199604743083,-0.0424901185770751
2930,0,400,173,0,173,0,85,88,2.68577075098814,-2.89426877470356
2940,0,400,243,34,209,0,132,75,10.6521739130435,-3.78260869565217
2950,0,400,187,0,187,0,143,43,6.73517786561265,-1.22727272727273
2971,0,400,3,0,3,0,1,2,0.120553359683794,-0.111660079051383
3091,0,400,1519,3,1516,0,671,822,16.453557312253,-24.3073122529644
3100,0,400,17,0,17,0,7,10,0.16501976284585,-0.159090909090909
3120,0,400,33,1,32,0,3,28,0.229249011857708,-1.24802371541502
3131,0,400,4270,1,4269,0,3360,856,93.6758893280632,-13.0454545454546
3160,0,400,39600,61,39539,0,27909,11205,1031.7104743083,-269.264822134387
3190,0,400,153,0,153,0,104,47,3.72430830039526,-1.3705533596838
3200,0,400,63,3,60,0,23,37,0.789525691699605,-1.94071146245059
3210,0,400,15,0,15,0,0,15,0,-0.881422924901186
