"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
10,0,400,3,0,3,0,0,3,0,-0.0335968379446641
20,0,400,2,0,2,0,1,1,0.0079051383399209,-0.0138339920948617
40,0,400,1,0,1,0,0,1,0,-0.0227272727272727
60,0,400,26,0,26,0,4,22,0.0118577075098814,-0.141304347826087
70,0,400,30,0,30,0,16,12,0.176877470355731,-0.182806324110672
230,0,400,1,0,1,0,0,1,0,-0.0454545454545455
440,0,400,2,0,2,0,0,2,0,-0.0602766798418973
510,0,400,5,0,5,0,2,3,0.0523715415019763,-0.0671936758893282
530,0,400,9,0,9,0,8,1,0.590909090909091,-0.00494071146245062
540,0,400,131,0,131,0,39,87,0.522727272727273,-1.15118577075099
580,0,400,48,0,48,0,25,23,0.276679841897233,-0.541501976284585
640,0,400,0,0,0,0,0,0,0,0
650,0,400,1,0,1,0,1,0,0.00691699604743073,0
690,0,400,0,0,0,0,0,0,0,0
770,0,400,12,0,12,0,1,11,0.000988142292490057,-0.106719367588933
1200,0,400,22,0,22,0,3,19,0.00592885375494068,-0.226284584980238
1250,0,400,10,0,10,0,2,8,0.00395256916996056,-0.0335968379446643
1260,0,400,1,0,1,0,1,0,0.00691699604743073,0
1290,0,400,1,0,1,0,0,1,0,-0.074110671936759
1320,0,400,1134,6,1128,0,471,637,8.4100790513834,-10.9861660079051
1330,0,400,1,0,1,0,0,1,0,-0.0207509881422925
1350,0,400,136,0,136,0,20,114,0.33399209486166,-2.3903162055336
1370,0,400,10,0,10,0,4,6,0.292490118577075,-0.08102766798419
1390,0,400,3,0,3,0,1,2,0.0138339920948616,-0.0365612648221344
1400,0,400,136,0,136,0,21,111,0.0879446640316205,-1.15118577075099
1410,0,400,5,0,5,0,3,2,0.136363636363636,-0.187747035573123
1420,0,400,51,0,51,0,8,42,0.127470355731225,-0.608695652173914
1430,0,400,42,0,42,0,9,33,0.08300395256917,-0.391304347826088
